Rank,Name,Year,Revenues,Revenue Percent Change,Profits,Profits Percent Change,Assets,Employees,Change in Rank,Newcomer,Sector,Country,City,lat,lng
74,Petrobras,2019,"$95,584.00 ",8%,"$7,173.00 ",-,"$222,068.00 ","63,361",-1,no,Energy,Brazil,Rio de Janeiro,-22.9083,-43.1964
73,Petrobras,2018,"$88,827.00 ",9.10%,($91.00),-,"$251,366.00 ","62,703",2,no,Energy,Brazil,Rio de Janeiro,-22.9083,-43.1964
75,Petrobras,2017,"$81,405.00 ",-16.30%,"($4,838.00)",-,"$246,983.00 ","68,829",-17,no,Energy,Brazil,Rio de Janeiro,-22.9083,-43.1964
2,State Grid,2021,"$386,617.70 ",1%,"$5,580.40 ",-30%,"$666,088.50 ","896,360",1,no,Energy,China,Beijing,39.905,116.3914
4,China National Petroleum,2021,"$283,957.60 ",-25%,"$4,575.20 ",3%,"$626,616.70 ","1,242,245",-,no,Energy,China,Beijing,39.905,116.3914
5,Sinopec Group,2021,"$283,727.60 ",-30%,"$6,205.20 ",-8.70%,"$343,289.00 ","553,833",-3,no,Energy,China,Beijing,39.905,116.3914
13,China State Construction Engineering,2021,"$234,425.00 ",14%,"$3,578.40 ",7.40%,"$338,033.20 ","356,864",5,no,Engineering & Construction,China,Beijing,39.905,116.3914
20,Industrial & Commercial Bank of China,2021,"$182,794.40 ",3%,"$45,783.40 ",1.30%,"$5,110,353.70 ","439,787",4,no,Financials,China,Beijing,39.905,116.3914
25,China Construction Bank,2021,"$172,000.20 ",8%,"$39,282.50 ",1.70%,"$4,311,456.60 ","373,814",5,no,Financials,China,Beijing,39.905,116.3914
29,Agricultural Bank of China,2021,"$153,884.60 ",5%,"$31,293.40 ",1.90%,"$4,169,355.90 ","462,592",6,no,Financials,China,Beijing,39.905,116.3914
32,China Life Insurance,2021,"$144,589.10 ",10%,"$4,648.10 ",-0.30%,"$776,308.80 ","183,417",13,no,Financials,China,Beijing,39.905,116.3914
35,China Railway Engineering Group,2021,"$141,383.60 ",15%,"$1,638.80 ",6.70%,"$185,315.70 ","308,483",15,no,Engineering & Construction,China,Beijing,39.905,116.3914
39,Bank of China,2021,"$134,045.60 ",-1%,"$27,952.10 ",3%,"$3,739,871.10 ","309,084",4,no,Financials,China,Beijing,39.905,116.3914
42,China Railway Construction,2021,"$131,992.30 ",10%,"$1,485.50 ",9.30%,"$190,916.10 ","364,632",12,no,Engineering & Construction,China,Beijing,39.905,116.3914
56,China Mobile Communications,2021,"$111,825.50 ",3%,"$12,920.10 ",6.40%,"$304,527.80 ","455,721",9,no,Telecommunications,China,Beijing,39.905,116.3914
59,JD.com,2021,"$108,087.00 ",29%,"$7,160.20 ",306%,"$64,718.40 ","314,906",43,no,Retailing,China,Beijing,39.905,116.3914
61,China Communications Construction,2021,"$106,867.70 ",12%,"$1,165.00 ",-12.60%,"$306,555.00 ","213,438",17,no,Engineering & Construction,China,Beijing,39.905,116.3914
65,China Minmetals,2021,"$102,014.80 ",16%,$491.10 ,113.40%,"$150,651.90 ","205,015",27,no,Materials,China,Beijing,39.905,116.3914
74,China Post Group,2021,"$96,304.10 ",8%,"$4,698.40 ",5.80%,"$1,811,048.30 ","827,231",16,no,Transportation,China,Beijing,39.905,116.3914
90,People's Insurance Co. of China,2021,"$84,290.40 ",6%,"$2,903.80 ",-9.40%,"$192,500.20 ","193,494",22,no,Financials,China,Beijing,39.905,116.3914
92,China National Offshore Oil,2021,"$83,296.30 ",-23%,"$4,802.40 ",-31%,"$193,366.20 ","80,058",-28,no,Energy,China,Beijing,39.905,116.3914
2,Sinopec Group,2020,"$407,009.00 ",-1.80%,"$6,793.20 ",16.20%,"$317,515.70 ","582,648",-,no,Energy,China,Beijing,39.905,116.3914
3,State Grid,2020,"$383,906.00 ",-0.80%,"$7,970.00 ",-2.50%,"$596,616.30 ","907,677",2,no,Energy,China,Beijing,39.905,116.3914
4,China National Petroleum,2020,"$379,130.00 ",-3.50%,"$4,443.20 ",95.70%,"$608,085.60 ","1,344,410",-,no,Energy,China,Beijing,39.905,116.3914
18,China State Construction Engineering,2020,"$205,839.00 ",13.40%,"$3,333.00 ",5.50%,"$294,070.00 ","335,038",3,no,Engineering & Construction,China,Beijing,39.905,116.3914
24,Industrial & Commercial Bank of China,2020,"$177,069.00 ",4.80%,"$45,194.50 ",0.40%,"$4,322,528.40 ","445,106",2,no,Financials,China,Beijing,39.905,116.3914
30,China Construction Bank,2020,"$158,884.00 ",5.10%,"$38,609.70 ",0.30%,"$3,651,644.60 ","370,169",1,no,Financials,China,Beijing,39.905,116.3914
35,Agricultural Bank of China,2020,"$147,313.00 ",5.60%,"$30,701.20 ",0.10%,"$3,571,541.70 ","467,631",1,no,Financials,China,Beijing,39.905,116.3914
43,Bank of China,2020,"$135,091.00 ",5.80%,"$27,126.90 ",-0.40%,"$3,268,837.90 ","309,384",1,no,Financials,China,Beijing,39.905,116.3914
45,China Life Insurance,2020,"$131,244.00 ",13%,"$4,660.30 ",-,"$648,393.20 ","180,401",6,no,Financials,China,Beijing,39.905,116.3914
50,China Railway Engineering Group,2020,"$123,324.00 ",10%,"$1,535.30 ",23.70%,"$152,982.50 ","302,394",5,no,Engineering & Construction,China,Beijing,39.905,116.3914
54,China Railway Construction,2020,"$120,302.00 ",8.90%,"$1,359.20 ",14.50%,"$155,597.90 ","364,907",5,no,Engineering & Construction,China,Beijing,39.905,116.3914
64,China National Offshore Oil,2020,"$108,687.00 ",0.50%,"$6,957.20 ",-5.10%,"$184,922.20 ","92,080",-1,no,Energy,China,Beijing,39.905,116.3914
65,China Mobile Communications,2020,"$108,527.00 ",-3.20%,"$12,145.10 ",3.40%,"$266,190.30 ","457,565",-9,no,Telecommunications,China,Beijing,39.905,116.3914
78,China Communications Construction,2020,"$95,096.00 ",7.90%,"$1,332.60 ",-15.90%,"$232,053.40 ","197,309",15,no,Engineering & Construction,China,Beijing,39.905,116.3914
90,China Post Group,2020,"$89,347.00 ",4.30%,"$4,440.90 ",7.40%,"$1,518,542.80 ","927,171",11,no,Transportation,China,Beijing,39.905,116.3914
92,China Minmetals,2020,"$88,357.00 ",10.30%,$230.10 ,-,"$133,441.70 ","199,486",20,no,Materials,China,Beijing,39.905,116.3914
2,Sinopec Group,2019,"$414,649.90 ",27%,"$5,845.00 ",280.10%,"$329,186.30 ","619,151",1,no,Energy,China,Beijing,39.905,116.3914
4,China National Petroleum,2019,"$392,976.60 ",21%,"$2,270.50 ",-,"$601,899.90 ","1,382,401",-,no,Energy,China,Beijing,39.905,116.3914
5,State Grid,2019,"$387,056.00 ",11%,"$8,174.80 ",-14.30%,"$572,309.50 ","917,717",-3,no,Energy,China,Beijing,39.905,116.3914
21,China State Construction Engineering,2019,"$181,524.50 ",16%,"$3,159.50 ",18.10%,"$272,768.80 ","302,827",2,no,Engineering & Construction,China,Beijing,39.905,116.3914
26,Industrial & Commercial Bank of China,2019,"$168,979.00 ",10%,"$45,002.30 ",6.30%,"$4,034,481.60 ","449,296",-,no,Financials,China,Beijing,39.905,116.3914
31,China Construction Bank,2019,"$151,110.80 ",9%,"$38,498.40 ",7.40%,"$3,382,421.70 ","366,996",-,no,Financials,China,Beijing,39.905,116.3914
36,Agricultural Bank of China,2019,"$139,523.60 ",14%,"$30,656.50 ",7.40%,"$3,293,105.00 ","477,526",4,no,Financials,China,Beijing,39.905,116.3914
44,Bank of China,2019,"$127,714.10 ",11%,"$27,225.20 ",6.70%,"$3,097,612.00 ","310,119",2,no,Financials,China,Beijing,39.905,116.3914
51,China Life Insurance,2019,"$116,171.50 ",-3%,"($2,566.90)",-1063.10%,"$580,331.60 ","175,077",-9,no,Financials,China,Beijing,39.905,116.3914
55,China Railway Engineering Group,2019,"$112,132.70 ",9%,"$1,240.90 ",6.10%,"$137,914.20 ","307,992",1,no,Engineering & Construction,China,Beijing,39.905,116.3914
56,China Mobile Communications,2019,"$112,096.00 ",2%,"$11,745.30 ",7.40%,"$255,216.60 ","462,046",-3,no,Telecommunications,China,Beijing,39.905,116.3914
59,China Railway Construction,2019,"$110,455.90 ",10%,"$1,186.90 ",-9.30%,"$134,180.20 ","356,326",-1,no,Engineering & Construction,China,Beijing,39.905,116.3914
63,China National Offshore Oil,2019,"$108,130.40 ",33%,"$7,331.10 ",142.90%,"$177,193.60 ","93,601",24,no,Energy,China,Beijing,39.905,116.3914
67,China Development Bank,2019,"$103,072.90 ",28%,"$16,744.30 ",0.70%,"$2,356,616.20 ","9,507",-,yes,Financials,China,Beijing,39.905,116.3914
88,Sinochem Group,2019,"$89,358.10 ",16%,$701.40 ,-6.90%,"$71,332.70 ","66,713",10,no,Wholesalers,China,Beijing,39.905,116.3914
93,China Communications Construction,2019,"$88,140.90 ",11%,"$1,585.20 ",2.60%,"$198,943.70 ","178,572",-2,no,Engineering & Construction,China,Beijing,39.905,116.3914
2,State Grid,2018,"$348,903.00 ",10.70%,"$9,533.40 ",-0.40%,"$585,278.00 ","913,546",-,no,Energy,China,Beijing,39.905,116.3914
3,Sinopec Group,2018,"$326,953.00 ",22.20%,"$1,537.80 ",22.20%,"$346,544.50 ","667,793",-,no,Energy,China,Beijing,39.905,116.3914
4,China National Petroleum,2018,"$326,008.00 ",24.20%,($690.50),-137%,"$629,410.50 ","1,470,193",-,no,Energy,China,Beijing,39.905,116.3914
23,China State Construction Engineering,2018,"$156,071.00 ",8%,"$2,675.20 ",7.30%,"$239,680.90 ","270,467",1,no,Engineering & Construction,China,Beijing,39.905,116.3914
